id,desil,jumlah_tanggungan,penghasilan,status
1,2,0,984090,Diterima
2,2,8,700612,Diterima
3,7,0,3026069,Ditolak
4,1,8,702298,Diterima
5,9,6,3548536,Diterima
6,1,2,1174432,Diterima
7,6,4,2961958,Diterima
8,2,6,1832279,Diterima
9,6,4,2627300,Diterima
10,7,1,2144191,Ditolak
11,10,5,3247686,Ditolak
12,4,4,1408221,Diterima
13,4,1,1379265,Diterima
14,3,5,1650711,Diterima
15,5,1,1860311,Diterima
16,3,7,1194812,Diterima
17,9,3,3142670,Ditolak
18,4,0,994500,Diterima
19,7,4,3558876,Diterima
20,6,3,2757227,Diterima
21,7,7,2886763,Diterima
22,9,4,3621527,Ditolak
23,7,6,1859125,Diterima
24,8,1,4149787,Ditolak
25,2,2,506469,Diterima
26,2,6,491061,Diterima
27,8,8,3095488,Diterima
28,2,8,1507744,Diterima
29,6,1,2336643,Ditolak
30,5,8,2276004,Diterima
31,9,1,3681345,Ditolak
32,10,3,3555244,Ditolak
33,3,8,2216168,Diterima
34,10,5,3539476,Ditolak
35,2,5,1546275,Diterima
36,1,3,300000,Diterima
37,2,1,916509,Diterima
38,9,2,2718718,Ditolak
39,8,8,3349056,Diterima
40,4,8,2121898,Diterima
41,4,4,1219246,Diterima
42,9,7,3803960,Diterima
43,4,1,1419884,Diterima
44,4,0,2153353,Diterima
45,1,3,742133,Diterima
46,9,3,3491530,Ditolak
47,8,3,2478134,Diterima
48,10,7,3643518,Ditolak
49,8,6,3166060,Diterima
50,7,6,2918113,Diterima
51,1,1,1249399,Diterima
52,2,3,1239992,Diterima
53,9,7,3612122,Diterima
54,2,7,1196429,Diterima
55,9,1,4895827,Ditolak
56,2,3,1475693,Diterima
57,8,7,3191454,Diterima
58,7,0,3144532,Ditolak
59,5,7,1914290,Diterima
60,9,7,4052693,Diterima
61,5,3,2566146,Diterima
62,6,0,2297195,Ditolak
63,8,8,3530503,Diterima
64,9,1,3211165,Ditolak
65,2,1,867362,Diterima
66,10,3,3538822,Ditolak
67,1,1,300000,Diterima
68,5,3,2307363,Diterima
69,6,3,2379247,Diterima
70,8,5,3310846,Diterima
71,2,0,300000,Diterima
72,2,8,1372897,Diterima
73,5,2,2803614,Diterima
74,6,4,2064049,Diterima
75,9,4,2547775,Ditolak
76,1,8,300000,Diterima
77,2,2,923761,Diterima
78,3,4,2186469,Diterima
79,4,5,1863071,Diterima
80,8,4,3643373,Diterima
81,1,1,300000,Diterima
82,6,2,1838010,Diterima
83,5,2,2022097,Diterima
84,1,1,300000,Diterima
85,3,8,1724199,Diterima
86,7,2,2836185,Ditolak
87,6,0,2621143,Ditolak
88,2,5,837035,Diterima
89,7,2,3012613,Ditolak
90,3,6,1217775,Diterima
91,6,6,2657588,Diterima
92,5,2,1293540,Diterima
93,2,6,1549397,Diterima
94,8,5,2530685,Diterima
95,4,3,1959157,Diterima
96,2,4,1038820,Diterima
97,9,6,3119782,Diterima
98,1,1,300000,Diterima
99,5,2,1047395,Diterima
100,10,6,3243966,Ditolak
101,6,6,2023952,Diterima
102,10,3,3503705,Ditolak
103,7,0,2030681,Ditolak
104,4,5,1609494,Diterima
105,6,5,2293149,Diterima
106,9,4,3273432,Ditolak
107,6,6,2234373,Diterima
108,7,2,2269121,Diterima
109,5,6,2039114,Diterima
110,7,5,2746618,Diterima
111,8,3,2391011,Diterima
112,3,1,1300141,Diterima
113,10,5,4620864,Ditolak
114,5,3,2595781,Diterima
115,3,0,2451640,Diterima
116,2,7,1329186,Diterima
117,10,3,3722204,Ditolak
118,3,0,964021,Diterima
119,2,6,1140500,Diterima
120,8,0,3808465,Ditolak
121,2,7,1299189,Diterima
122,9,5,3782307,Diterima
123,8,8,2319187,Diterima
124,3,7,1737145,Diterima
125,4,4,1748162,Diterima
126,5,7,1566866,Diterima
127,5,3,2002243,Diterima
128,3,2,1697842,Diterima
129,3,3,1726438,Diterima
130,7,0,2910738,Ditolak
131,7,6,3187912,Diterima
132,10,6,3501744,Ditolak
133,6,4,2417115,Diterima
134,7,8,1966273,Diterima
135,9,3,3131503,Ditolak
136,7,5,2773597,Diterima
137,7,2,3233579,Diterima
138,9,0,2693325,Ditolak
139,10,0,4165684,Ditolak
140,3,0,1563013,Diterima
141,6,3,2051623,Diterima
142,5,6,2151926,Diterima
143,2,7,1494392,Diterima
144,6,3,2460510,Diterima
145,1,0,903483,Diterima
146,3,3,1266954,Diterima
147,2,3,699610,Diterima
148,10,1,3867077,Ditolak
149,3,4,1420990,Diterima
150,7,6,2807313,Diterima
151,4,1,1068986,Diterima
152,5,1,1637779,Diterima
153,10,0,3557390,Ditolak
154,9,5,3796567,Ditolak
155,7,7,3552291,Diterima
156,8,2,3726683,Ditolak
157,9,4,2779689,Ditolak
158,8,6,2502177,Diterima
159,10,4,3668245,Ditolak
160,5,7,2319782,Diterima
161,8,6,2858707,Diterima
162,8,3,3499951,Ditolak
163,5,5,1950201,Diterima
164,9,0,3979331,Ditolak
165,4,1,1722177,Diterima
166,4,7,2107945,Diterima
167,8,7,3147113,Diterima
168,4,4,1529602,Diterima
169,6,7,2053387,Diterima
170,9,5,3328955,Ditolak
171,8,4,2999132,Diterima
172,6,1,2671452,Diterima
173,3,3,1446493,Diterima
174,9,4,3900044,Ditolak
175,4,4,1735472,Diterima
176,9,2,3699054,Ditolak
177,1,8,398621,Diterima
178,8,1,4027195,Ditolak
179,10,4,3376887,Ditolak
180,1,4,732375,Diterima
181,8,1,3277197,Ditolak
182,1,2,300000,Diterima
183,10,4,4059887,Ditolak
184,7,3,2904096,Diterima
185,7,7,3032030,Diterima
186,7,4,2567278,Diterima
187,1,1,908344,Diterima
188,2,2,911712,Diterima
189,9,1,3677137,Ditolak
190,8,4,3441245,Ditolak
191,5,4,1921890,Diterima
192,5,3,1628989,Diterima
193,9,3,2925458,Ditolak
194,2,0,300143,Diterima
195,5,4,1632615,Diterima
196,7,4,2917827,Diterima
197,8,7,3199825,Diterima
198,6,4,2455240,Diterima
199,4,0,2297486,Diterima
200,1,2,648394,Diterima
201,8,4,3321475,Diterima
202,8,1,3582322,Ditolak
203,7,5,2668811,Diterima
204,7,7,2919598,Diterima
205,7,8,2917204,Diterima
206,2,6,1039251,Diterima
207,1,8,520252,Diterima
208,10,7,3831601,Diterima
209,1,3,627325,Diterima
210,8,1,3310766,Ditolak
211,10,3,3713723,Ditolak
212,7,1,2415867,Ditolak
213,2,7,1546131,Diterima
214,5,8,1861331,Diterima
215,7,7,3046688,Diterima
216,7,3,2712982,Diterima
217,9,2,3661230,Ditolak
218,7,5,2507431,Diterima
219,9,4,3589893,Ditolak
220,10,7,3505355,Diterima
221,8,8,2742127,Diterima
222,7,7,2785323,Diterima
223,4,3,1437432,Diterima
224,1,5,522803,Diterima
225,7,6,3457399,Diterima
226,3,7,1298412,Diterima
227,3,8,1700834,Diterima
228,8,1,3022397,Ditolak
229,8,0,3029213,Ditolak
230,3,1,945253,Diterima
231,5,5,1762188,Diterima
232,6,8,2118416,Diterima
233,6,7,2475214,Diterima
234,5,3,1972270,Diterima
235,7,1,2790631,Ditolak
236,3,4,727265,Diterima
237,1,5,745297,Diterima
238,3,3,1030568,Diterima
239,10,2,3878176,Ditolak
240,10,3,3942168,Ditolak
241,10,2,3863674,Ditolak
242,1,7,1216583,Diterima
243,9,2,4312136,Ditolak
244,5,6,2481543,Diterima
245,8,4,3223661,Ditolak
246,4,6,2074313,Diterima
247,10,4,4134256,Ditolak
248,7,4,2734641,Diterima
249,1,7,1079634,Diterima
250,4,5,950484,Diterima
251,4,4,1419801,Diterima
252,3,1,775630,Diterima
253,1,4,675032,Diterima
254,3,1,1248845,Diterima
255,6,6,2495925,Diterima
256,6,8,2590151,Diterima
257,5,2,2017320,Diterima
258,5,5,2795731,Diterima
259,8,1,3760681,Ditolak
260,7,8,3556405,Diterima
261,7,0,2731360,Ditolak
262,5,6,2254614,Diterima
263,6,1,2194508,Diterima
264,9,5,3047722,Diterima
265,4,1,1405312,Diterima
266,7,1,2414027,Ditolak
267,1,4,848678,Diterima
268,9,2,3444914,Ditolak
269,6,8,1824538,Diterima
270,7,1,3070487,Ditolak
271,10,6,4100575,Ditolak
272,4,7,1578920,Diterima
273,4,5,2193785,Diterima
274,6,0,2755705,Ditolak
275,4,1,2407887,Diterima
276,4,0,1465119,Diterima
277,6,3,3101710,Diterima
